cod_dep_inei,desc_dep_inei,cod_prov_inei,desc_prov_inei,cod_ubigeo_inei,desc_ubigeo_inei,cod_dep_reniec,desc_dep_reniec,cod_prov_reniec,desc_prov_reniec,cod_ubigeo_reniec,desc_ubigeo_reniec,cod_dep_sunat,desc_dep_sunat,cod_prov_sunat,desc_prov_sunat,cod_ubigeo_sunat,desc_ubigeo_sunat
1,AMAZONAS,101,CHACHAPOYAS,10101,CHACHAPOYAS,1,AMAZONAS,101,CHACHAPOYAS,10101,CHACHAPOYAS,1,AMAZONAS,101,CHACHAPOYAS,10101,CHACHAPOYAS
1,AMAZONAS,101,CHACHAPOYAS,10102,ASUNCION,1,AMAZONAS,101,CHACHAPOYAS,10102,ASUNCION,1,AMAZONAS,101,CHACHAPOYAS,10102,ASUNCION
1,AMAZONAS,101,CHACHAPOYAS,10103,BALSAS,1,AMAZONAS,101,CHACHAPOYAS,10103,BALSAS,1,AMAZONAS,101,CHACHAPOYAS,10103,BALSAS
1,AMAZONAS,101,CHACHAPOYAS,10104,CHETO,1,AMAZONAS,101,CHACHAPOYAS,10104,CHETO,1,AMAZONAS,101,CHACHAPOYAS,10104,CHETO
1,AMAZONAS,101,CHACHAPOYAS,10105,CHILIQUIN,1,AMAZONAS,101,CHACHAPOYAS,10105,CHILIQUIN,1,AMAZONAS,101,CHACHAPOYAS,10105,CHILIQUIN
1,AMAZONAS,101,CHACHAPOYAS,10106,CHUQUIBAMBA,1,AMAZONAS,101,CHACHAPOYAS,10106,CHUQUIBAMBA,1,AMAZONAS,101,CHACHAPOYAS,10106,CHUQUIBAMBA
1,AMAZONAS,101,CHACHAPOYAS,10107,GRANADA,1,AMAZONAS,101,CHACHAPOYAS,10107,GRANADA,1,AMAZONAS,101,CHACHAPOYAS,10107,GRANADA
1,AMAZONAS,101,CHACHAPOYAS,10108,HUANCAS,1,AMAZONAS,101,CHACHAPOYAS,10108,HUANCAS,1,AMAZONAS,101,CHACHAPOYAS,10108,HUANCAS
1,AMAZONAS,101,CHACHAPOYAS,10109,LA JALCA,1,AMAZONAS,101,CHACHAPOYAS,10109,LA JALCA,1,AMAZONAS,101,CHACHAPOYAS,10109,LA JALCA
1,AMAZONAS,101,CHACHAPOYAS,10110,LEIMEBAMBA,1,AMAZONAS,101,CHACHAPOYAS,10110,LEIMEBAMBA,1,AMAZONAS,101,CHACHAPOYAS,10110,LEIMEBAMBA
1,AMAZONAS,101,CHACHAPOYAS,10111,LEVANTO,1,AMAZONAS,101,CHACHAPOYAS,10111,LEVANTO,1,AMAZONAS,101,CHACHAPOYAS,10111,LEVANTO
1,AMAZONAS,101,CHACHAPOYAS,10112,MAGDALENA,1,AMAZONAS,101,CHACHAPOYAS,10112,MAGDALENA,1,AMAZONAS,101,CHACHAPOYAS,10112,MAGDALENA
1,AMAZONAS,101,CHACHAPOYAS,10113,MARISCAL CASTILLA,1,AMAZONAS,101,CHACHAPOYAS,10113,MARISCAL CASTILLA,1,AMAZONAS,101,CHACHAPOYAS,10113,MARISCAL CASTILLA
